State,State Code,2011 Percent,2011 Total,2010 Percent,2010 Total,2009 Percent,2009 Total,2008 Percent,2008 Total,2007 Percent,2007 Total,2006 Percent,2006 Total,2005 Percent,2005 Total,2004 Percent,2004 Total,2003 Percent,2003 Total,2002 Percent,2002 Total,2001 Percent,2001 Total,2000 Percent,2000 Total,1999 Percent,1999 Total,1998 Percent,1998 Total,1997 Percent,1997 Total,1996 Percent,1996 Total,1995 Percent,1995 Total,1994 Percent,1994 Total,1993 Percent,1993 Total,1992 Percent,1992 Total,1991 Percent,1991 Total,1990 Percent,1990 Total,1989 Percent,1989 Total,1988 Percent,1988 Total,1987 Percent,1987 Total,1986 Percent,1986 Total,1985 Percent,1985 Total,1984 Percent,1984 Total,1983 Percent,1983 Total,1982 Percent,1982 Total,1981 Percent,1981 Total,1980 Percent,1980 Total,1979 Percent,1979 Total,1978 Percent,1978 Total,1977 Percent,1977 Total,1976 Percent,1976 Total
Ohio,OH,8.6,501119,10,585515,10.1,601401,6.5,389182,5.6,335478,5.4,321406,5.9,344244,6.1,360274,6.2,361085,5.7,334943,4.4,258914,4,233882,4.3,246349,4.3,247857,4.6,264455,5,282314,4.9,273853,5.6,313974,6.7,370897,7.4,402480,6.6,355348,5.7,309641,5.5,297971,6.1,321797,7,370058,8.2,429910,8.9,459702,9.4,481899,12.2,624549,12.7,652821,9.6,489633,8.5,432291,5.9,293804,5.5,270871,6.4,310626,7.7,368174
Oklahoma,OK,6.2,108983,6.9,122412,6.7,117392,3.7,65061,4.1,71305,4.1,71101,4.5,76851,5,84105,5.6,95471,4.8,81068,3.7,61627,3.1,51523,3.6,59464,4.4,71481,4.2,67436,4.2,65935,4.6,72191,5.6,86945,6,92897,6.2,94849,6.2,94284,5.7,86286,5.7,86940,6.5,99911,7.5,116015,8.5,133684,7.4,116069,7,108999,8.6,133438,6.2,92440,3.7,53571,4.4,61244,3.3,42961,3.6,45747,5,61742,5.8,68882
Oregon,OR,9.5,188271,10.7,211356,11.1,218908,6.5,127065,5.2,99254,5.3,101228,6.2,115072,7.3,135273,8.1,150345,7.6,139609,6.4,117456,5.1,93196,5.5,98436,5.7,101016,5.6,97821,5.6,96665,4.9,81788,5.5,89496,6.9,110948,7.3,114346,6.4,96794,5.4,81376,5.4,79003,5.8,82147,6.3,87182,8,108421,8.7,116316,9.4,124757,10.9,145060,11.6,153628,9.8,130802,8.4,109635,6.7,83598,6.1,73845,7.5,86064,9.3,101866
Palau,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pennsylvania,PA,7.9,506817,8.5,540922,8,509288,5.4,345168,4.4,276227,4.5,286574,5,312201,5.4,337235,5.7,349266,5.6,348552,4.8,293417,4.2,254931,4.4,268002,4.6,280750,5.1,310592,5.4,325746,5.9,345739,6.3,373136,7.1,418976,7.7,454373,6.9,404532,5.4,316657,4.7,273131,5,288380,5.7,320334,6.9,388809,8.1,447300,9.1,503194,11.6,640664,11.3,618562,8.4,462176,7.9,427761,6.8,367134,6.9,366558,7.7,401073,8,410908
Puerto Rico,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rhode Island,RI,11.3,63399,11.7,66725,10.9,61656,7.7,44166,5.2,29809,5.1,29027,5.1,28478,5.2,29050,5.4,30315,5.1,28070,4.5,24784,4.2,22646,4.2,22559,4.6,24460,5.2,27735,5.3,27500,6.2,31463,6.8,35212,7.9,41708,8.8,46810,8.1,42479,6.1,32177,4,20855,3,15642,3.6,18508,4,20286,4.5,22402,5.6,27591,8.4,39833,9.4,44628,7.9,37838,7.1,33383,6.3,29572,6.5,29319,7.7,34587,8,35113
South Carolina,SC,10.3,221381,11.2,241162,11.5,247611,6.8,145281,5.6,119068,6.4,134123,6.8,139983,6.8,138430,6.7,133257,6,115907,5.2,100743,3.6,70794,4.1,79779,3.6,69230,4.4,84349,5.6,106731,5.1,95233,6,111053,7.2,131687,6.6,118924,6.1,107031,4.9,83570,4.6,78381,4.6,76136,5.2,85671,6.2,99624,6.6,104157,6.7,101289,9.6,143941,10.7,161077,8,114633,6.6,92665,5,67113,5.6,74233,6.8,89237,7.1,90917
South Dakota,SD,4.7,20841,5,22378,5.2,22869,3,13284,2.9,12659,3.1,13551,3.7,15715,3.7,15651,3.5,14956,3.3,13788,3.1,12912,2.7,11007,2.8,11430,3,11929,3.1,12060,3.4,13332,3.3,12573,3.4,12641,3.6,13079,3.5,12705,3.6,12755,3.7,13139,4,14283,4.2,14875,4.4,15567,4.7,16255,4.8,16623,4.5,15274,5.3,17747,5.5,18206,4.8,16071,4.7,15754,3.4,11365,3.3,10687,3.5,10964,3.4,10541
Tennessee,TN,9.2,287732,9.8,301100,10.5,318267,6.6,202210,4.8,146180,5.2,156439,5.6,163808,5.4,158114,5.7,164764,5.3,152116,4.7,134993,4,115041,4.1,116614,4.5,126549,5.3,148343,5.3,147371,5.3,144047,5.1,134648,6,151706,6.6,162798,6.6,159396,5.5,132078,5.2,123604,5.8,136374,6.8,157604,7.9,180562,8.2,185742,9.3,207055,11.7,255825,11.7,249676,9.2,195462,7.3,151483,6,122047,5.9,117533,6.3,122324,6.2,115182
Texas,TX,7.9,986979,8.2,1004979,7.5,897093,4.9,573946,4.4,497793,4.9,556831,5.4,599137,6,666594,6.7,736116,6.4,687888,5,527415,4.4,451845,4.7,483726,4.9,496900,5.4,531315,5.8,560663,6.1,586801,6.6,617019,7.2,659875,7.6,684139,7,612478,6.4,551865,6.7,567854,7.4,617016,8.5,705132,8.9,731621,6.8,550556,6.2,488030,7.9,605946,6.9,510614,5.3,377735,5.2,350225,4.4,285742,4.8,301480,5.4,321054,5.8,330393
U.S. Minor Outlying Islands,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Utah,UT,6.7,90062,8,109041,7.6,105465,3.5,48227,2.6,35595,2.9,39044,4.1,53175,5.1,62862,5.7,68307,5.8,68046,4.4,50886,3.4,38121,3.6,40150,3.7,40691,3.2,33850,3.5,36146,3.5,35592,3.9,37876,4.2,38831,4.9,43874,4.7,40294,4.4,36386,4.6,36675,5,37902,6.2,47221,6.2,45818,6.2,44949,6.5,46091,8.8,61297,8.3,56024,6.5,42223,6.5,40718,4.5,26842,3.9,22339,5.3,29026,5.6,29641
Vermont,VT,5.6,20089,6.4,23059,6.9,24749,4.5,16194,3.9,14011,3.7,13278,3.5,12235,3.7,12880,4.5,15478,4,13868,3.3,11135,2.7,9056,2.9,9834,3.1,10251,4,13014,4.4,14271,4.3,13707,4.6,14389,5.3,16604,6.4,20133,6.6,20356,4.9,15206,3.6,10890,3,8845,3.8,11062,4.4,12764,4.8,13394,4.9,13416,6.7,17859,7.2,19036,5.8,14818,6.3,15610,4.9,12086,5.5,13241,7.1,16271,8.5,18527
Virginia,VA,6.2,268833,6.9,294746,6.9,287983,4,164136,3.1,123065,3,121209,3.5,137986,3.7,142678,4.1,155724,4.2,156557,3.2,117652,2.3,81513,2.7,94820,2.8,99247,3.7,126915,4.3,147917,4.5,154894,4.7,161482,5.2,173926,6.2,206341,5.9,193648,4.4,143192,3.9,122669,4,121805,4.2,125916,4.9,143725,5.4,154007,5.1,142275,6.3,172845,7.4,196591,5.8,153743,5.2,133062,4.7,119209,5.2,128351,5.5,132675,5.9,137082
Virgin Islands,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Washington,WA,9.2,319466,9.9,349065,9.4,329510,5.4,188204,4.6,154123,4.9,163868,5.5,179555,6.2,199708,7.4,232924,7.3,227676,6.2,189009,5,151344,4.8,148588,4.8,145148,4.9,144428,5.9,170469,6.3,176600,6.5,178175,7.1,191091,7.2,188716,6.3,160307,5.1,130594,5.8,141769,6.2,145359,7.2,163526,8,176033,8.3,175505,9.2,189826,11,226537,11.8,239519,9.4,186867,7.9,156656,6.7,128388,6.8,122738,8.4,141894,8.8,143498
West Virginia,WV,8,63805,8.5,68126,7.7,61643,4.2,34075,4.2,34295,4.5,36736,4.9,39038,5.3,41479,6,47154,5.9,47067,5.2,41719,5.5,44212,6.3,50985,6.5,52463,6.8,54273,7.4,58879,7.9,61678,8.7,68100,10.4,81231,11.3,87793,10.5,80779,8.6,65122,8.7,64955,9.7,72395,10.8,80471,12,89351,13.4,100743,14.7,111656,17.4,135206,14.3,110383,10.7,82428,9.6,74763,6.9,52837,6,44370,6.6,47556,7.4,51418
Wisconsin,WI,7.5,228828,8.5,260873,8.7,272441,4.8,149603,4.8,148201,4.7,144614,4.8,145691,5,152026,5.6,171087,5.3,160153,4.4,133061,3.4,101207,3.1,91002,3.3,97084,3.5,103028,3.6,105430,3.7,107610,4.3,121782,4.5,123959,5.2,138822,5.3,140788,4.3,112769,4.2,109815,4.2,106112,6.1,151885,6.9,168013,7.2,172934,7.3,174352,9.8,236417,10.3,247633,7.9,189140,7.3,172436,4.5,103237,4.8,109477,5,110670,5.5,118769
Wyoming,WY,6,18111,7,21220,6.3,18982,3.1,9160,2.8,8163,3.2,9076,3.7,10256,3.9,10733,4.5,12118,4.2,11192,3.9,10477,3.8,10197,4.9,12848,4.9,12822,4.8,12319,5.2,13157,4.9,12350,5,12590,5.5,13422,5.7,13514,5.1,11932,5.3,12512,6.3,14986,6.6,15562,8.2,19917,8.9,22254,7.1,18048,6.3,16166,8.3,21406,6.1,15537,4.1,10151,4,9366,2.6,5765,3,6346,3.4,6642,4,7205
